Country,State,Year,Additional Info,"Number Of Suicides (UOM:Number), Scaling Factor:1","Percentage Share In Total Suicides (UOM:%(Percentage)), Scaling Factor:1","Projected Mid-Year Population (UOM:Number), Scaling Factor:100000","Rate Of Suicides (UOM:Ratio), Scaling Factor:1","Rank (UOM:Number), Scaling Factor:1"
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2015",,10293,7.7,771.3,13.3,
India,Maharashtra,"Calendar Year (Jan - Dec), 2015",,16970,12.7,1191.4,14.2,
India,Manipur,"Calendar Year (Jan - Dec), 2015",,37,0.0,25.7,1.4,
India,Meghalaya,"Calendar Year (Jan - Dec), 2015",,172,0.1,27.5,6.2,
India,Mizoram,"Calendar Year (Jan - Dec), 2015",,123,0.1,10.6,11.7,
India,Nagaland,"Calendar Year (Jan - Dec), 2015",,21,0.0,23.6,0.9,
India,Odisha,"Calendar Year (Jan - Dec), 2015",,4087,3.1,422.5,9.7,
India,Puducherry,"Calendar Year (Jan - Dec), 2015",,711,0.5,16.5,43.2,
India,Punjab,"Calendar Year (Jan - Dec), 2015",,1049,0.8,289.4,3.6,
India,Rajasthan,"Calendar Year (Jan - Dec), 2015",,3457,2.6,723.1,4.8,
India,Sikkim,"Calendar Year (Jan - Dec), 2015",,241,0.2,6.4,37.5,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2015",,15777,11.8,691.6,22.8,
India,Telangana,"Calendar Year (Jan - Dec), 2015",Adjusted Mid-year projected population for the year 2015 due to absence of population figures of newly created States namely Andhra Pradesh and Telangana carved out from erstwhile 'Andhra Pradesh.,10140,7.6,365.6,27.7,
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2015",,144.00000000000000000000,0.036931548946183642879,7.400000000000000000000,16.822690656680975431544,
India,Tripura,"Calendar Year (Jan - Dec), 2015",,746,0.6,38.0,19.6,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2015",,3902,2.9,2158.4,1.8,
India,Uttarakhand,"Calendar Year (Jan - Dec), 2015",,475,0.4,105.4,4.5,
India,West Bengal,"Calendar Year (Jan - Dec), 2015",,14602,10.9,930.0,15.7,
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2014",,155,0.1,5.4,28.9,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2014",,6101,4.6,509.2,12.0,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2014",,156,0.1,12.9,12.1,
India,Assam,"Calendar Year (Jan - Dec), 2014",,3546,2.7,318.2,11.1,
India,Bihar,"Calendar Year (Jan - Dec), 2014",,719,0.5,1019.4,0.7,
India,Chandigarh,"Calendar Year (Jan - Dec), 2014",,105,0.1,16.8,6.3,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2014",,5683,4.3,253.4,22.4,
India,Goa,"Calendar Year (Jan - Dec), 2014",,291,0.2,19.3,15.1,
India,Gujarat,"Calendar Year (Jan - Dec), 2014",,7225,5.5,615.9,11.7,
India,Haryana,"Calendar Year (Jan - Dec), 2014",,3203,2.4,268.1,11.9,
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2014",,644,0.5,70.0,9.2,
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2014",,252.35672989265064921780,0.2,119.331476925982089940200,2.1,
India,Jharkhand,"Calendar Year (Jan - Dec), 2014",,1300,1.0,329.1,4.0,
India,Karnataka,"Calendar Year (Jan - Dec), 2014",,10945,8.3,614.1,17.8,
India,Kerala,"Calendar Year (Jan - Dec), 2014",,8446,6.4,353.3,23.9,
India,Ladakh,"Calendar Year (Jan - Dec), 2014",,5.64327010734935078220,0.2,2.668523074017910059800,2.1,
India,Lakshadweep,"Calendar Year (Jan - Dec), 2014",,3,0.0,0.8,3.8,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2014",,9039,6.9,760.0,11.9,
India,Maharashtra,"Calendar Year (Jan - Dec), 2014",,16307,12.4,1176.9,13.9,
India,Manipur,"Calendar Year (Jan - Dec), 2014",,50,0.0,25.4,2.0,
India,Meghalaya,"Calendar Year (Jan - Dec), 2014",,99,0.1,27.2,3.6,
India,Mizoram,"Calendar Year (Jan - Dec), 2014",,116,0.1,10.4,11.1,
India,Nagaland,"Calendar Year (Jan - Dec), 2014",,13,0.0,23.4,0.6,
India,Odisha,"Calendar Year (Jan - Dec), 2014",,4160,3.2,419.1,9.9,
India,Puducherry,"Calendar Year (Jan - Dec), 2014",,644,0.5,15.9,40.4,
India,Punjab,"Calendar Year (Jan - Dec), 2014",,943,0.7,286.7,3.3,
India,Rajasthan,"Calendar Year (Jan - Dec), 2014",,4459,3.4,713.2,6.3,
India,Sikkim,"Calendar Year (Jan - Dec), 2014",,244,0.2,6.4,38.4,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2014",,16122,12.2,687.8,23.4,
India,Telangana,"Calendar Year (Jan - Dec), 2014",,9623,7.3,362.7,26.5,
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2014",,103.00000000000000000000,0.036931548946183642879,7.200000000000000000000,12.393154894618364287900,
India,Tripura,"Calendar Year (Jan - Dec), 2014",,762,0.6,37.6,20.3,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2014",,3590,2.7,2123.9,1.7,
